sector,vab_real_medio,productividad_med,part_rta_media,part_imb_media,part_na_media,puestos_medio
Explotación de minas y canteras,281781.48908548587,2795.767649825986,0.2866105238691485,0.0019841627658645543,0.023928695110093004,100.82075159347781
Pesca,26044.075633093908,1169.0281379208839,0.37170412230512995,0.03125303989518409,0.22803989843245914,22.30048885754782
"Electricidad, gas y agua",120647.3272704008,937.2435377599295,0.5166942116606856,0.00898677531917514,0.07815445584049974,129.77947690448087
Intermediación financiera,280049.6981868416,918.5673366701635,0.5802588775566854,0.0246929540836513,0.10131352359941337,304.932267366594
"Actividades inmobiliarias, empresariales y de alquiler",810272.2455820424,573.1278604950921,0.29987969627948596,0.09367257468016793,0.3258263227670954,1416.928311405426
Industria manufacturera,1199710.584939161,509.73971286494907,0.3854287267706984,0.1767830374549798,0.29947574415423134,2349.584555490707
"Transporte, almacenamiento y comunicaciones",436237.6059223537,373.5106579632081,0.5886331134603954,0.06153806297688004,0.25952923099242203,1167.4724746452212
"Comercio mayorista, minorista y reparaciones",1265749.536992987,353.96318750670673,0.301831596363465,0.268216584277801,0.4593090831971699,3571.488022357598
"Agricultura, ganadería, caza y silvicultura",468617.09708350967,343.0126300030309,0.21258176553893063,0.11512803675184281,0.3491158334337516,1365.7611570468061
Servicios sociales y de salud privados,287664.4082669011,341.68480324968414,0.3711692900827196,0.0951790252152375,0.2945546531055561,846.5333094922639
Hoteles y restaurantes,149913.8927274315,231.076811494461,0.36753762311327715,0.33218036752738905,0.25659380279634103,640.284826708116
Construcción,317236.61916706176,190.18249902558148,0.4169574605018656,0.21030391265279041,0.4529894106564295,1664.519969801441
"Otras actividades de servicios comunitarias, sociales y personales",204684.9670461545,186.63842056243465,0.6597718418622134,0.13794535977015784,0.23501238036270225,1098.6869090154398
Enseñanza privada,100076.90113717092,145.49604076120602,0.8007485021747612,0.04216392239896711,0.07494286731491072,687.8122116349734
Hogares privados con servicio doméstico,51561.39829160081,31.95555445960176,1,NA,NA,1608.6102908574533
